Rank,Player,Team,Position,"FHG Value","Games Played",W,SO,SV%,G,A,+/-,PIM,SOG,PPP,BKS
288,"Vincent Lecavalier",PHI,C/LW,-21,69," "," "," ",20,17,-16,44,132,13,19
289,"Steve Downie",PIT,LW/RW,-21,62," "," "," ",4,20,1,106,88,5,18
290,"John Mitchell",COL,C,-21,75," "," "," ",11,21,13,36,107,3,51
291,"Jarret Stoll",LAK,C,-21,78," "," "," ",8,19,9,48,109,3,60
292,"Tommy Wingels",SJS,RW,-22,77," "," "," ",16,22,11,35,163,5,58
293,"Kris Versteeg",CHI,LW/RW,-22,81," "," "," ",12,24,0,36,157,8,23
294,"Patrick Wiercioch",OTT,D,-22,53," "," "," ",4,19,-1,20,97,12,48
295,"Chris Higgins",VAN,LW,-23,78," "," "," ",17,22,-14,30,216,3,45
296,"Nick Holden",COL,D,-23,54," "," "," ",10,15,12,22,66,7,57
297,"Sergei Gonchar",DAL,D,-23,76," "," "," ",2,20,-12,20,89,13,81
298,"Marcus Johansson",WSH,C/LW,-23,80," "," "," ",8,36,-21,4,107,21,27
299,"Zach Bogosian",WPG,D,-23,55," "," "," ",3,8,3,48,134,1,75
300,"Jonas Brodin",MIN,D,-23,79," "," "," ",8,11,0,22,74,6,117
301,"Luke Schenn",PHI,D,-23,79," "," "," ",4,8,0,58,78,0,113
302,"Matt Bartkowski",BOS,D,-24,64," "," "," ",0,18,22,30,91,0,56
303,"Andrej Meszaros",BUF,D,-24,52," "," "," ",7,15,5,40,84,2,64
304,"Andrew Ference",EDM,D,-25,71," "," "," ",3,15,-18,63,77,2,108
305,"Jay Harrison",CAR,D,-25,66," "," "," ",4,11,1,35,99,6,78
306,"Zbynek Michalek",ARI,D,-25,59," "," "," ",2,8,6,24,78,0,165
307,"Ryan Callahan",TBL,RW,-25,65," "," "," ",17,19,1,24,163,12,60
308,"Brad Boyes",FLA,C/RW,-25,78," "," "," ",21,15,-6,28,176,3,35
309,"Lars Eller",MTL,C,-25,77," "," "," ",12,14,-15,68,137,3,58
310,"Eddie Lack",VAN,G,-26,42,16,4,0.912," "," "," "," "," "," "," "
311,"Tyler Myers",BUF,D,-26,62," "," "," ",9,13,-26,58,99,5,81
312,"Cam Atkinson",CBJ,RW,-26,79," "," "," ",21,19,-4,18,216,9,38
313,"Brian Gionta",BUF,RW,-27,81," "," "," ",18,22,1,22,184,7,52
